loc	anim	val	additive	animate	set	animateColor	animateTransform
feSpotLightSpecularExponentAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feGaussianBlurStdDeviationAttribute	TRUE	<number>					
feTurbulenceStitchTilesAttribute	TRUE	" """"stitch | noStitch"""""					
feDiffuseLightingSurfaceScaleAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpecularLightingSurfaceScaleAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feComponentTransferTableValuesAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementTargetXAttribute	TRUE	<integer>	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementTargetYAttribute	TRUE	<integer>	TRUE	TRUE	TRUE	FALSE	FALSE
feColorMatrixTypeAttribute	TRUE	" """"matrix | saturate | hueRotate | luminanceToAlpha"""""					
feTurbulenceTypeAttribute	TRUE	" """"fractalNoise | turbulence"""""					
feComponentTransferTypeAttribute	TRUE	" """"identity | table | discrete | linear | gamma"""""					
feColorMatrixValuesAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
fePointLightXAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightXAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
feDisplacementMapXChannelSelectorAttribute	TRUE	" """"R | G | B | A"""""					
feImageElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
FilterElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
fePointLightYAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightYAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
feDisplacementMapYChannelSelectorAttribute	TRUE	" """"R | G | B | A"""""					
fePointLightZAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightZAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementBaseProfileAttribute	FALSE	profile-name	FALSE	FALSE	FALSE	FALSE	FALSE
ExternalResourcesRequiredAttribute	FALSE	false | true	FALSE	FALSE	FALSE	FALSE	FALSE
ImageElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
IDAttribute	FALSE	name	FALSE	FALSE	FALSE	FALSE	FALSE
RequiredExtensionsAttribute	FALSE	list-of-extensions	FALSE	FALSE	FALSE	FALSE	FALSE
RequiredFeaturesAttribute	FALSE	list-of-features	FALSE	FALSE	FALSE	FALSE	FALSE
SystemLanguageAttribute	FALSE	The attribute value is a comma-separated list of language names as defined in BCP 47 [BCP47].	FALSE	FALSE	FALSE	FALSE	FALSE
SVGElementVersionAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
ImageElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
ImageElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
ImageElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
UseElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
XMLBaseAttribute	FALSE	<iri>	FALSE	FALSE	FALSE	FALSE	FALSE
XMLLangAttribute	FALSE	languageID	FALSE	FALSE	FALSE	FALSE	FALSE
XMLSpaceAttribute	FALSE	{default | preserve}	FALSE	FALSE	FALSE	FALSE	FALSE
ImageElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
ClassAttribute	TRUE	6.11 The ΓÇýclassΓÇÖ attribute					
ContentStyleTypeAttribute	FALSE	content-type	FALSE	FALSE	FALSE	FALSE	FALSE
StyleElementMediaAttribute	FALSE	media-descriptors	FALSE	FALSE	FALSE	FALSE	FALSE
StyleAttribute	FALSE	6.12 The ΓÇýstyleΓÇÖ attribute	FALSE	FALSE	FALSE	FALSE	FALSE
StyleElementTitleAttribute	FALSE	advisory-title	FALSE	FALSE	FALSE	FALSE	FALSE
StyleElementTypeAttribute	FALSE	content-type	FALSE	FALSE	FALSE	FALSE	FALSE
ClipPathElementClipPathUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
MaskElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
MaskElementMaskContentUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
MaskElementMaskUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
MaskElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
