loc	anim	additive	animate	set	animateColor	animateTransform
feSpecularLightingSpecularConstantAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpecularLightingSpecularExponentAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightSpecularExponentAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feGaussianBlurStdDeviationAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feTurbulenceStitchTilesAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feDiffuseLightingSurfaceScaleAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpecularLightingSurfaceScaleAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feComponentTransferTableValuesAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementTargetXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementTargetYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feColorMatrixTypeAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feTurbulenceTypeAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feComponentTransferTypeAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feColorMatrixValuesAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
fePointLightXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feDisplacementMapXChannelSelectorAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feImageElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
FilterElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
fePointLightYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feDisplacementMapYChannelSelectorAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
fePointLightZAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightZAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementBaseProfileAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ExternalResourcesRequiredAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ImageElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
IDAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
RequiredExtensionsAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
RequiredFeaturesAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
SystemLanguageAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
SVGElementVersionAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ImageElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ImageElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ImageElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
UseElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
XMLBaseAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
XMLLangAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
XMLSpaceAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ImageElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
SVGElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
UseElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ClassAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
ContentStyleTypeAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
StyleElementMediaAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
StyleAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
StyleElementTitleAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
StyleElementTypeAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ClipPathElementClipPathUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MaskElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
MaskElementMaskContentUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MaskElementMaskUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MaskElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
MaskElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
MaskElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ContentScriptTypeAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnAbortEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnActivateEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnBeginEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnClickEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnEndEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnErrorEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnFocusInEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnFocusOutEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnLoadEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseDownEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseMoveEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseOutEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseOverEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseUpEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnRepeatEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnResizeEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnScrollEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnUnloadEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OnZoomEventAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ScriptElementTypeAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ScriptElementHrefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
CircleElementCXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementCXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
CircleElementCYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementCYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
PolygonElementPointsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PolylineElementPointsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
CircleElementRAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementRXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementRXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementRYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementRYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LineElementX1Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LineElementX2Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LineElementY1Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LineElementY2Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementCXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementCYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementFXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementFYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementGradientTransformAttribute	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
